product_image_url,product_price
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/855916/1.jpg?3988," 13,015"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/362906/1.jpg?6294," 5,520"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/567491/1.jpg?5172," 3,299"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/751006/1.jpg?5190," 6,099 - ₦ 6,399"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/564781/1.jpg?7013," 12,000 - ₦ 18,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/432514/1.jpg?2706," 2,980"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/809005/1.jpg?7241," 4,599"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/755916/1.jpg?3990," 9,399"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/959464/1.jpg?2647," 3,160"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/097026/1.jpg?7339," 3,500 - ₦ 4,800"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/981314/1.jpg?4947," 7,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/525812/1.jpg?3276," 12,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/580026/1.jpg?0396," 18,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/563116/1.jpg?2549," 10,707"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/128374/1.jpg?2225," 3,750"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/415026/1.jpg?3823," 8,100"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/391906/1.jpg?4500," 9,766"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/215816/1.jpg?9070," 4,490"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/052734/1.jpg?0073," 2,899"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/324316/1.jpg?4937," 9,470"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/379316/1.jpg?7081," 8,380"
